common_name,scientific_name,wikipedia_characteristics,condensed_description,very_short_description
aardvark,orycteropus afer,"A nocturnal burrowing mammal with a stout body, strongly arched back, long tubular snout, large upright ears, and a thick, tapering tail. Its sparse, coarse hair is pale yellowish-gray.","A stout, pale yellowish-gray mammal with a long snout, large ears, and a thick tail.","Stout body, long snout, large ears."
aardwolf,proteles cristata,"A small, slender hyena-like mammal with a sloping back, yellowish-brown coat marked with vertical black stripes, and a long distinct mane running down its neck and back.",A small hyena-like animal with a striped yellowish-brown coat and a prominent dorsal mane.,"Striped coat, prominent mane, hyena-like."
african buffalo,syncerus caffer,"A large, heavily built bovid with a broad chest, sturdy legs, and a dark brown to black coat. Both sexes have distinctive, heavily bossed curving horns.","A massive, dark-coated bovid with thick, curving horns that form a heavy bone shield across its forehead.","Massive build, dark coat, heavy curving horns."
african civet,civettictis civetta,"A stocky, medium-sized carnivore with a broad head, short neck, and short legs. Its coat is silver or pale yellowish, heavily marked with black spots and stripes, with a black raccoon-like face mask.","A stocky, spotted and striped pale carnivore with a black face mask and a dorsal crest.","Spotted/striped coat, black face mask."
african elephant,loxodonta africana,"The largest land animal, featuring a massive body, dark grey skin that is deeply wrinkled, extremely large ears shaped like the African continent, a long prehensile trunk, and prominent ivory tusks.","A massive grey mammal with huge ears, a long prehensile trunk, and ivory tusks.","Massive, deeply wrinkled grey skin, huge ears, long trunk."
african wild dog,lycaon pictus,"A long-legged canid with a unique, irregularly mottled coat of black, brown, white, and yellow. It has large, rounded bat-like ears and a bushy tail with a white tip.","A long-legged wild canine with a patchy black, brown, and white coat and large, rounded ears.","Mottled colorful coat, large rounded ears."
agouti genus,dasyprocta,"A medium-sized rodent with a slender body, relatively long legs, and a very short, almost invisible tail. Its coarse hair ranges from pale orange to brown or blackish.","A slender, medium-sized rodent with coarse brown-orange fur and long legs.","Slender body, coarse brown/orange fur, short tail."
alpine ibex,capra ibex,"A robust wild goat with a brownish-grey coat and a pale underbelly. Males possess very long, thick, backwards-curving horns with distinctive transverse ridges.","A sturdy mountain goat with brownish-grey fur and long, ridged, backwards-curving horns.","Robust goat, brownish-grey coat, long ridged horns."
alpine marmot,marmota marmota,"A large, heavily built ground squirrel with a mixture of blonde, reddish, and dark grey fur, a short snout, and a small, bushy tail.","A large, thick-furred ground squirrel with a stout body and a mixture of grey and brown hair.","Stout ground squirrel, mixed brown/grey fur."
american badger,taxidea taxus,"A stocky, low-slung carnivore with a broad, flat body, short legs, and a distinctive greyish coat. Its face features prominent black and white striped markings.","A broad, low-slung mammal with a greyish body and striking black-and-white facial stripes.","Low-slung body, striking black/white facial stripes."
american bison,bison bison,"A massive, heavy-set bovid with a dark brown shaggy mane covering its large head and pronounced shoulder hump. It has short, curved, dark horns and a lighter brown rear body.","A massive bovid with a shaggy dark brown mane, a pronounced shoulder hump, and short curved horns.","Massive, shaggy dark mane, shoulder hump, curved horns."
american black bear,ursus americanus,"A medium-sized bear with a highly variable coat color ranging from black to brown or blonde, a straight facial profile, prominent ears, and a lack of a pronounced shoulder hump.","A medium-sized bear with black or brown fur, a straight face, and prominent ears, lacking a large shoulder hump.","Black/brown coat, straight profile, no shoulder hump."
american mink,neovison vison,"A small, semi-aquatic carnivore with a long, slender body, short legs, and dense, glossy dark brown to black fur, often with a white patch on its chin.","A slender, short-legged semi-aquatic mammal with glossy dark fur and a white chin patch.","Slender body, glossy dark fur, white chin patch."
arizona black-tailed prairie dog,cynomys ludovicianus,"A stout ground squirrel with a yellowish-tan to light brown coat, a whitish belly, and a distinctive black-tipped tail.","A stout, tan-colored ground squirrel with a whitish belly and a black-tipped tail.","Stout tan ground squirrel, black-tipped tail."
asian elephant,elephas maximus,"A massive land mammal with dark grey skin, smaller ears compared to its African relative, a twin-domed head, and a trunk with a single finger-like process at the tip.","A huge grey mammal with a twin-domed head, moderate-sized ears, and a long trunk.","Massive, grey skin, twin-domed head, moderate ears."
asiatic black bear,ursus thibetanus,"A medium-sized bear with a very black coat, a distinct V-shaped white patch on its chest, large, round ears, and a relatively slender build.","A black bear with a distinct white V-shaped patch on its chest and large, round ears.","Black coat, white V-shaped chest patch, round ears."
asiatic wild ass,equus hemionus,"A medium-sized equid with a reddish-brown or sandy-colored coat during summer, turning grayish-brown in winter. It has a stiff, dark mane and a dark dorsal stripe.","A horse-like animal with a sandy-brown coat, a stiff dark mane, and a prominent dorsal stripe.","Sandy-brown coat, stiff dark mane, dorsal stripe."
ateles species,ateles,"Spider monkeys have disproportionately long limbs and a long, highly prehensile tail. Their fur varies from black and brown to reddish, and they lack thumbs.","A slender monkey with exceptionally long limbs, a prehensile tail, and varying fur colors.","Long limbs, highly prehensile tail, slender body."
aye-aye,daubentonia madagascariensis,"A peculiar, dark brown or black lemur with large, glowing yellowish eyes, oversized ears, a bushy tail, and an exceptionally thin, elongated middle finger.","A weird-looking, dark-furred lemur with large eyes, big ears, and a specialized long middle finger.","Dark fur, large eyes/ears, elongated middle finger."
baboon genus,papio,"A large primate with a robust body, a distinct dog-like muzzle, thick fur ranging from yellowish to olive-brown, and a short tail. Males often have a pronounced mane.","A large, sturdy primate with a dog-like muzzle, thick olive-brown fur, and a short tail.","Sturdy build, dog-like muzzle, thick olive-brown fur."
baird's tapir,tapirus bairdii,"A large, heavily built mammal with a dark brown to greyish-brown coat, a pale face and throat, and a distinctive, short, flexible proboscis.","A bulky, dark brown mammal with a pale face and throat and a short, flexible trunk.","Bulky body, dark brown coat, short flexible trunk."
bat-eared fox,otocyon megalotis,"A small, yellowish-grey fox with incredibly large, bat-like ears, a black raccoon-like face mask, and blackish legs and tail tip.",A small yellowish-grey canid with enormous ears and a dark face mask and legs.,"Yellowish-grey coat, massive bat-like ears, dark face mask."
beaver genus,castor,"A large, semi-aquatic rodent with a stout body, dense brown waterproof fur, webbed hind feet, and a distinctively large, flat, paddle-shaped scaly tail.","A robust, semi-aquatic rodent with thick brown fur and a large, flat, paddle-like tail.","Stout body, brown fur, flat paddle-shaped tail."
bighorn sheep,ovis canadensis,"A robust wild sheep with a light brown to greyish coat and a white rump patch. Males possess massive, thick, continuously curving horns.","A muscular mountain sheep with a brown coat, white rump, and huge, curved brown horns.","Muscular build, light brown coat, massive curved horns."
binturong,arctictis binturong,"A large, heavily built viverrid with long, coarse, dark black hair, tufted ears, a prehensile tail, and a somewhat bear-like face with white whiskers.","A stout, black-furred mammal with a prehensile tail, tufted ears, and a bear-like face.","Coarse black fur, prehensile tail, tufted ears."
black wildebeest,connochaetes gnou,"A large antelope with a uniformly dark brown to black coat, a prominent white tail, a bristly upward-pointing mane, and forward-curving horns.","A dark-coated antelope with a prominent white tail, a bristly mane, and forward-hooking horns.","Dark coat, prominent white tail, bristly mane, forward-curving horns."
black-backed jackal,canis mesomelas,"A slender, medium-sized canid characterized by a distinct dark saddle over its back intermixed with silvery hair, contrasting with its reddish-brown underparts.",A slender wild canine with a striking black and silver saddle pattern against reddish-brown fur.,"Reddish-brown fur, distinct black/silver saddle."
blackbuck,antilope cervicapra,"A medium-sized antelope where adult males have a striking two-tone coat—black on top and white below—and long, tightly spiraled V-shaped horns. Females are yellowish-fawn.",A graceful antelope with spiraled horns; males are distinctively black on top and white underneath.,"Two-tone coat (males), long spiraled V-shaped horns."
blesbok,damaliscus pygargus,"A medium-sized antelope with a rich reddish-brown coat, a prominent white blaze down the front of its face, and ridged horns pointing straight up and back.",A reddish-brown antelope with a striking white blaze on its face and ridged horns.,"Reddish-brown coat, distinct white face blaze, ridged horns."
bobcat,lynx rufus,"A medium-sized wildcat with a tan to grayish coat adorned with black spots, tufted ears, prominent facial ruffs, and a short, bobbed tail with a black tip.","A spotted, tan-to-grey wildcat with tufted ears, facial ruffs, and a short bobbed tail.","Spotted tan/grey coat, tufted ears, bobbed tail."
bongo,tragelaphus eurycerus,"A large, heavy forest antelope with a brilliant reddish-chestnut coat marked by thin vertical white stripes. It has large ears and slightly spiraling horns.","A heavy, reddish-chestnut forest antelope adorned with vertical white stripes and spiraling horns.","Reddish-chestnut coat, vertical white stripes, spiraled horns."
bornean orangutan,pongo pygmaeus,"A large great ape characterized by its prominent, coarse, shaggy reddish-orange hair. Adult males have large cheek pads (flanges) and a large throat sac.","A large ape with coarse, shaggy reddish-orange fur, long arms, and cheek pads in adult males.","Shaggy reddish-orange fur, long arms, large cheek pads (males)."
brown bear,ursus arctos,"A massive bear with a prominent shoulder hump, a somewhat dished facial profile, and thick fur ranging in color from blonde to dark brown or nearly black.","A large, heavily built bear with a distinct shoulder hump and thick brown fur.","Massive build, thick brown fur, prominent shoulder hump."
brown hyaena,parahyaena brunnea,"A medium-sized hyena with a shaggy, dark brown coat, a lighter colored neck and shoulders, and distinct stripes on its lower legs. Its back slopes downward toward the rump.","A shaggy, dark brown hyena with a lighter mane, striped legs, and a sloping back.","Shaggy dark brown coat, lighter mane, striped legs."
brown-throated sloth,bradypus variegatus,"A medium-sized, slow-moving mammal with long, coarse, grayish-brown fur, a dark face with pale borders, a blunt snout, and three elongated claws on each limb.","A slow-moving arboreal mammal with coarse grayish-brown fur, a dark face, and three long claws per foot.","Coarse grayish-brown fur, dark face, three long claws."
bushbuck,tragelaphus scriptus,"A medium-sized, slender antelope with a varying coat color from light brown to very dark brown, scattered with white spots and stripes on the flanks and a white throat patch.",A slender brown antelope marked with distinct white spots and stripes on its flanks.,"Slender body, brown coat with white spots/stripes."
california ground squirrel,otospermophilus beecheyi,"A medium-to-large ground squirrel with mottled grey, brown, and white fur, and a distinctive darker grey mantle over its shoulders.",A mottled grey and brown ground squirrel with a darker cape of fur over its shoulders.,"Mottled grey/brown fur, dark grey shoulder mantle."
callicebus genus,callicebus,"Titi monkeys are small, tree-dwelling primates with long, soft fur, a non-prehensile furry tail, and coloration that ranges from grey to reddish or brown.","A small, fluffy primate with a long, non-prehensile tail and soft greyish or reddish fur.","Small, fluffy fur, long non-prehensile tail."
callithrix species,callithrix,"Marmosets are very small monkeys with soft, dense fur, long tails, and often distinctive ear tufts. They have claw-like nails instead of typical primate flat nails.","A tiny monkey with soft fur, a long tail, and often prominent white or black ear tufts.","Very small, soft fur, distinctive ear tufts."
canada lynx,lynx canadensis,"A medium-sized wildcat with a dense, silvery-grey coat, extra-long ear tufts, flared facial ruffs, extremely large, heavily furred paws, and a short bobbed tail with a completely black tip.","A wildcat with silvery-grey fur, long ear tufts, huge furry paws, and a completely black-tipped short tail.","Silvery-grey fur, huge furry paws, long ear tufts."
capybara,hydrochoerus hydrochaeris,"The world's largest rodent, featuring a heavily built, barrel-shaped body, a blunt, square-shaped head, small ears, and sparse, coarse reddish-brown hair.","A giant, barrel-shaped rodent with a blunt square muzzle, small ears, and coarse reddish-brown fur.","Giant barrel-shaped body, square blunt muzzle, reddish-brown fur."
caracal,caracal caracal,"A sleek, medium-sized wildcat with a uniform sandy to reddish-tan coat, a white underbelly, and very prominent long, black tufts on the tips of its ears.","A sleek, sandy-colored wildcat renowned for the long, striking black tufts on its ears.","Sleek sandy coat, prominent long black ear tufts."
cebus species,cebus,"Capuchin monkeys are small, agile primates with a slender body, a prehensile tail, and typical coloring of black or brown with contrasting white or pale fur around the face and chest.","A small, agile monkey typically featuring a dark body with a contrasting white or pale face and chest.","Slender body, dark fur, contrasting pale face/chest."
cephalophus species,cephalophus,"Forest duikers are small, stocky antelopes with arched backs, short legs, and coats ranging from reddish-brown to black, sometimes with a dorsal stripe.","A small, stocky forest antelope with an arched back and a reddish-brown or dark coat.","Small stocky build, arched back, reddish-brown/dark coat."
cercopithecus species,cercopithecus,"Guenon monkeys have slender bodies, long tails, and often brilliantly colored or uniquely patterned faces, including bright eye rings, beards, or contrasting nose spots.","A slender monkey often characterized by a vividly colored or patterned face, long tail, and soft fur.","Slender body, vividly patterned face, long tail."
cheetah,acinonyx jubatus,"A large, slender feline built for speed, possessing a tan coat uniformly covered in solid black spots, a small head, long thin legs, and distinctive black 'tear stripes' running from its eyes to its mouth.","A sleek, long-legged spotted cat with a tan coat, solid black spots, and striking facial tear stripes.","Slender body, tan coat, solid black spots, tear stripes."
chimpanzee,pan troglodytes,"A robust great ape with sparse to dense black hair over its body, a hairless face that darkens with age, prominent ears, and long, strong arms.","A large ape covered in black hair, with a bare face, large prominent ears, and long arms.","Robust build, black hair, bare face, large prominent ears."
chipmunk genus,tamias,"The Chipmunk is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Chipmunk) with physical traits typical of its group.,Distinctive natural animal form.
chital,axis axis,"The Chital is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Chital) with physical traits typical of its group.,Distinctive natural animal form.
